[15:21:01	]Jack Heathrow has gained a 'Dyskietka' #5865.
[15:21:11	]Jack Heathrow ran 'drop' on item 'Data-Disc' (#5845)
[15:21:11	]Jack Heathrow has lost a 'Data-Disc' #5845.
[15:21:13	]Jack Heathrow ran 'drop' on item 'Dyskietka' (#5865)
[15:21:13	]Jack Heathrow has lost a 'Dyskietka' #5865.
[15:21:16	]Jack Heathrow ran 'take' on item 'Dyskietka' (#5865)
[15:21:16	]Jack Heathrow has gained a 'Dyskietka' #5865.
[15:21:17	]Jack Heathrow ran 'take' on item 'Data-Disc' (#5845)
[15:21:17	]Jack Heathrow has gained a 'Data-Disc' #5845.
[15:21:40	]Jack Heathrow ran 'drop' on item 'Dyskietka' (#5865)
[15:21:40	]Jack Heathrow has lost a 'Dyskietka' #5865.
[15:22:39	]Loxy (STEAM_0:1:421238310) has disconnected.
[15:45:21	]Wenli has connected.
[15:46:13	]Wenli loaded the character 'Teodor Jeske'
[15:46:17	]Teodor Jeske entered observer.
[15:46:17	]Teodor Jeske exited observer at their location.
[15:46:19	]Teodor Jeske entered observer.
[15:46:21	]Teodor Jeske exited observer at their location.
[15:46:21	]Teodor Jeske entered observer.
[15:46:39	]Teodor Jeske exited observer at their location.
[15:46:46	]Teodor Jeske has spawned a 'Entity [2004][ix_discscanner]'.
[15:46:49	]Teodor Jeske has spawned a 'Entity [2035][ix_cwuterminal]'.
[15:46:50	]Teodor Jeske has spawned a 'Entity [2036][ix_fabricator]'.
[15:46:51	]Teodor Jeske has spawned a 'Entity [2037][ix_fabricator]'.
[15:46:52	]Teodor Jeske has spawned a 'Entity [2036][ix_fabricator]'.
[15:46:56	]Teodor Jeske has spawned a 'Entity [2037][ix_batterycharger]'.
[15:47:03	]Teodor Jeske has spawned a combinebattery.
[15:47:04	]Teodor Jeske ran 'SetFullCharge' on item 'Combine Battery' (#5867)
[15:47:11	]Teodor Jeske ran 'drop' on item 'Data-Disc' (#5602)
[15:47:11	]Teodor Jeske has lost a 'Data-Disc' #5602.
[15:47:30	]Teodor Jeske has given himself a tool_wrench.
[15:47:30	]Teodor Jeske has gained a 'Klucz' #5868.
[15:47:35	]Teodor Jeske ran 'drop' on item 'CWU PDA' (#5595)
[15:47:35	]Teodor Jeske has lost a 'CWU PDA' #5595.
