[14:32:59	]Enistein has connected.
[14:33:42	]Enistein loaded the character 'Theodore Abernathy'
[14:33:47	]Theodore Abernathy is fully healed.
[14:33:58	]Theodore Abernathy entered observer.
[14:34:00	]Theodore Abernathy exited observer at their location.
[14:34:06	]Enistein has unloaded their "Theodore Abernathy" character.
[14:34:16	]Enistein loaded the character 'Maya Morgan'
[14:35:14	]Maya Morgan has given himself a cmb_spikewall.
[14:35:14	]Maya Morgan has gained a 'Overwatch Heavy Shotgun' #72094.
[14:35:15	]Maya Morgan ran 'Equip' on item 'Overwatch Heavy Shotgun' (#72094)
[14:35:20	]Maya Morgan used command '/CharSetNeeds maya 0'.
[14:35:27	]Maya Morgan has given himself a magazine_sg1.
[14:35:27	]Maya Morgan has gained a '12rnd SG-1 Magazine' #72095.
[14:35:39	]Maya Morgan has given himself a bullets_buckshot.
[14:35:39	]Maya Morgan has gained a 'Buckshot Shotgun Shells' #72096.
[14:35:40	]Maya Morgan ran 'combine' on item '12rnd SG-1 Magazine' (#72095)
[14:35:40	]Maya Morgan has lost a '12rnd SG-1 Magazine' #72095.
[14:35:57	]Maya Morgan ran 'drop' on item 'Overwatch Heavy Shotgun' (#72094)
[14:35:57	]Maya Morgan has lost a 'Overwatch Heavy Shotgun' #72094.
[14:35:57	]Maya Morgan ran 'drop' on item 'Buckshot Shotgun Shells' (#72096)
[14:35:57	]Maya Morgan has lost a 'Buckshot Shotgun Shells' #72096.
[14:36:00	]Maya Morgan has used a context menu option with the name: remove
[14:36:01	]Maya Morgan has used a context menu option with the name: remove
[14:36:22	]Maya Morgan has given himself a cmb_pslmg.
[14:36:22	]Maya Morgan has gained a 'Suppressor Light Machinegun' #72097.
[14:36:24	]Maya Morgan ran 'Equip' on item 'Suppressor Light Machinegun' (#72097)
[14:37:28	]Maya Morgan has given himself a magazine_pulse100.
[14:37:28	]Maya Morgan has gained a '150rnd Suppressor Magazine' #72098.
[14:37:35	]Maya Morgan has given himself a bullets_pulse.
[14:37:35	]Maya Morgan has gained a 'Pulse Rifle Bullets' #72099.
[14:37:36	]Maya Morgan has given himself a bullets_pulse.
[14:37:36	]Maya Morgan has gained a 'Pulse Rifle Bullets' #72100.
[14:37:36	]Maya Morgan has given himself a bullets_pulse.
[14:37:36	]Maya Morgan has gained a 'Pulse Rifle Bullets' #72101.
[14:37:37	]Maya Morgan has given himself a bullets_pulse.
[14:37:38	]Maya Morgan ran 'combine' on item '150rnd Suppressor Magazine' (#72098)
[14:37:38	]Maya Morgan ran 'combine' on item '150rnd Suppressor Magazine' (#72098)
[14:37:39	]Maya Morgan ran 'combine' on item '150rnd Suppressor Magazine' (#72098)
[14:37:39	]Maya Morgan has lost a '150rnd Suppressor Magazine' #72098.
[14:38:19	]Maya Morgan ran 'drop' on item 'Suppressor Light Machinegun' (#72097)
[14:38:19	]Maya Morgan has lost a 'Suppressor Light Machinegun' #72097.
[14:38:23	]Maya Morgan has used a context menu option with the name: remove
[14:38:30	]Maya Morgan has given himself a jnk_tikhar.
[14:38:30	]Maya Morgan has gained a 'Tikhar Ball Rifle' #72102.
[14:38:31	]Maya Morgan ran 'Equip' on item 'Tikhar Ball Rifle' (#72102)
[14:39:07	]Maya Morgan has given himself a magazine_tikhar_15rnd.
[14:39:07	]Maya Morgan has gained a '15rnd Tikhar Magazine' #72103.
[14:39:18	]Maya Morgan has given himself a bullets_pistol.
[14:39:18	]Maya Morgan has gained a '9mm Pistol Bullets' #72104.
[14:39:19	]Maya Morgan ran 'combine' on item '15rnd Tikhar Magazine' (#72103)
[14:39:20	]Maya Morgan has lost a '15rnd Tikhar Magazine' #72103.
[14:39:34	]Maya Morgan ran 'removeMag' on item 'Tikhar Ball Rifle' (#72102)
[14:39:34	]Maya Morgan is removing a mag while reloading: Item ID: #(72102) Ammo: 0
[14:39:34	]Maya Morgan has gained a '15rnd Tikhar Magazine' #72103.
[14:39:35	]Maya Morgan ran 'combine' on item '15rnd Tikhar Magazine' (#72103)
[14:39:35	]Maya Morgan has lost a '15rnd Tikhar Magazine' #72103.
[14:39:54	]Maya Morgan ran 'removeMag' on item 'Tikhar Ball Rifle' (#72102)
[14:39:54	]Maya Morgan is removing a mag while reloading: Item ID: #(72102) Ammo: 0
[14:39:54	]Maya Morgan has gained a '15rnd Tikhar Magazine' #72103.
[14:39:55	]Maya Morgan ran 'drop' on item 'Tikhar Ball Rifle' (#72102)
[14:39:55	]Maya Morgan has lost a 'Tikhar Ball Rifle' #72102.
[14:39:56	]Maya Morgan ran 'drop' on item '15rnd Tikhar Magazine' (#72103)
[14:39:56	]Maya Morgan has lost a '15rnd Tikhar Magazine' #72103.
[14:39:58	]Maya Morgan has used a context menu option with the name: remove
[14:39:59	]Maya Morgan has used a context menu option with the name: remove
[14:40:17	]Maya Morgan has given himself a cmb_hkusp.
[14:40:17	]Maya Morgan has gained a 'HK USP .45' #72105.
[14:40:18	]Maya Morgan ran 'Equip' on item 'HK USP .45' (#72105)
[14:40:22	]Maya Morgan ran 'drop' on item 'HK USP .45' (#72105)
[14:40:22	]Maya Morgan has lost a 'HK USP .45' #72105.
[14:40:28	]Maya Morgan ran 'take' on item 'HK USP .45' (#72105)
[14:40:28	]Maya Morgan has gained a 'HK USP .45' #72105.
[14:40:39	]Beyin.Dll has connected.
[14:40:39	]Maya Morgan ran 'Equip' on item 'HK USP .45' (#72105)
[14:41:08	]Revain has connected.
[14:41:33	]Beyin.Dll loaded the character 'S10/ORD.HURRICANE-36'
[14:41:38	]S10/ORD.HURRICANE-36 is fully healed.
[14:41:51	]Maya Morgan entered observer.
[14:41:57	]Maya Morgan exited observer at their location.
[14:42:01	][IC] Maya Morgan: Evet!
[14:42:04	][Y] Maya Morgan: Evet!
[14:42:06	]Revain loaded the character 'Simon Hayes'
[14:42:11	]S10/ORD.HURRICANE-36 entered observer.
[14:42:14	]Simon Hayes entered observer.
