[04:07:43	]DavşanAbi has connected.
[04:10:56	]DavşanAbi loaded the character 'Arif Sertkesen'
[04:12:13	]Arif Sertkesen entered observer.
[04:12:41	]Arif Sertkesen has used a context menu option with the name: remove
[04:12:45	]Arif Sertkesen has used a context menu option with the name: door_lockunlock
[04:12:46	]Arif Sertkesen has used a context menu option with the name: door_lockunlock
[04:12:50	]Arif Sertkesen has used a context menu option with the name: door_lockunlock
[04:12:57	]Enistein has connected.
[04:13:54	]Enistein loaded the character 'Serebrov Orlov'
[04:14:03	]Serebrov Orlov entered observer.
[04:20:14	]Arif Sertkesen exited observer at their location.
[04:20:21	]Arif Sertkesen entered observer.
[04:20:29	]Arif Sertkesen exited observer at their location.
[04:21:09	]Arif Sertkesen entered observer.
[04:21:12	]Arif Sertkesen has used a context menu option with the name: remove
[04:21:15	]Arif Sertkesen has used a context menu option with the name: remove
[04:21:16	]Arif Sertkesen exited observer at their location.
[04:21:18	]Serebrov Orlov ran SAM command 'stopsound' with arguments: ''
[04:21:19	]Serebrov Orlov exited observer at their location.
[04:21:25	]Arif Sertkesen has taken 5 damage from worldspawn.
[04:21:26	]Arif Sertkesen has used a context menu option with the name: door_lockunlock
[04:21:29	]Serebrov Orlov has taken 5 damage from worldspawn.
[04:21:30	]Arif Sertkesen has taken 5 damage from worldspawn.
[04:21:34	]Serebrov Orlov has taken 5 damage from worldspawn.
[04:21:35	]Arif Sertkesen has taken 5 damage from worldspawn.
[04:21:39	]Serebrov Orlov has taken 5 damage from worldspawn.
[04:21:40	]Arif Sertkesen has taken 5 damage from worldspawn.
[04:21:41	]Arif Sertkesen entered observer.
[04:21:44	]Serebrov Orlov has taken 5 damage from worldspawn.
[04:21:49	]Serebrov Orlov entered observer.
[04:21:49	]Serebrov Orlov exited observer at their location.
[04:21:50	]Serebrov Orlov entered observer.
[04:21:50	]Serebrov Orlov exited observer at their location.
[04:21:57	]Arif Sertkesen exited observer at their location.
[04:22:36	]Serebrov Orlov ran SAM command 'stopsound' with arguments: ''
[04:23:06	]Serebrov Orlov ran SAM command 'stopsound' with arguments: ''
[04:25:19	]Serebrov Orlov ran SAM command 'stopsound' with arguments: ''
[04:25:27	]Arif Sertkesen ran 'take' on item 'Kırık Biyokilit' (#57032)
[04:25:27	]Arif Sertkesen has gained a 'Kırık Biyokilit' #57032.
[04:25:31	]Arif Sertkesen entered observer.
[04:26:43	]Serebrov Orlov entered observer.
[04:26:44	]Serebrov Orlov exited observer at their location.
[04:26:47	]Arif Sertkesen exited observer at their location.
[04:27:12	]Serebrov Orlov ran SAM command 'stopsound' with arguments: ''
[04:28:02	]Arif Sertkesen entered observer.
[04:28:02	]Arif Sertkesen exited observer at their location.
[04:28:23	]Arif Sertkesen has gained level 15 in the Hız skill.
[04:28:35	]Serebrov Orlov entered observer.
[04:28:46	]Serebrov Orlov exited observer at their location.
[04:28:55	]Arif Sertkesen destroyed a 'İnşaat malzemesi' #58822.
[04:28:57	]Arif Sertkesen destroyed a 'İnşaat malzemesi' #58823.
[04:29:16	]Arif Sertkesen entered observer.
[04:29:21	]Arif Sertkesen exited observer at their location.
[04:29:25	]Serebrov Orlov has given himself a lockbreacher.
[04:29:25	]Serebrov Orlov has gained a 'Combine Lock Breacher' #59368.
[04:29:26	]Serebrov Orlov entered observer.
[04:29:28	]Arif Sertkesen has spawned a lockbreacher.
[04:29:31	]Serebrov Orlov exited observer at their location.
[04:29:31	]Arif Sertkesen ran 'take' on item 'Combine Lock Breacher' (#59369)
[04:29:31	]Arif Sertkesen has gained a 'Combine Lock Breacher' #59369.
[04:29:36	]Arif Sertkesen ran 'Place' on item 'Combine Lock Breacher' (#59369)
[04:29:39	]Arif Sertkesen ran 'Place' on item 'Combine Lock Breacher' (#59369)
[04:29:40	]Serebrov Orlov ran 'Place' on item 'Combine Lock Breacher' (#59368)
[04:29:46	]Serebrov Orlov ran 'Place' on item 'Combine Lock Breacher' (#59368)
[04:30:02	]Arif Sertkesen has spawned a lockbreacher.
[04:30:03	]Arif Sertkesen ran 'Place' on item 'Combine Lock Breacher' (#59370)
[04:30:05	]Arif Sertkesen ran 'take' on item 'Combine Lock Breacher' (#59370)
[04:30:05	]Arif Sertkesen has gained a 'Combine Lock Breacher' #59370.
[04:30:12	]Arif Sertkesen ran 'drop' on item 'Combine Lock Breacher' (#59370)
[04:30:12	]Arif Sertkesen has lost a 'Combine Lock Breacher' #59370.
[04:30:13	]Arif Sertkesen ran 'drop' on item 'Combine Lock Breacher' (#59369)
[04:30:13	]Arif Sertkesen has lost a 'Combine Lock Breacher' #59369.
[04:30:15	]Arif Sertkesen has used a context menu option with the name: remove
[04:30:16	]Arif Sertkesen has used a context menu option with the name: remove
[04:30:37	]Serebrov Orlov ran SAM command 'stopsound' with arguments: ''
[04:30:42	]Arif Sertkesen entered observer.
[04:30:43	]Arif Sertkesen exited observer at their location.
[04:30:45	]Serebrov Orlov has used a context menu option with the name: remove
[04:31:00	]Arif Sertkesen has spawned a dummy_emp.
[04:31:02	]Arif Sertkesen ran 'take' on item 'Geliştirilmiş EMP Bombası' (#59371)
[04:31:02	]Arif Sertkesen has gained a 'Geliştirilmiş EMP Bombası' #59371.
[04:31:15	]Arif Sertkesen entered observer.
[04:31:23	]Serebrov Orlov used command '/ViewObjectives'.
[04:31:28	]Arif Sertkesen exited observer at their location.
[04:31:31	]Serebrov Orlov used command '/ViewObjectives'.
[04:31:31	]Arif Sertkesen entered observer.
[04:31:33	]Enistein has unloaded their "Serebrov Orlov" character.
[04:31:34	]Arif Sertkesen exited observer at their location.
[04:31:37	]DavşanAbi has unloaded their "Arif Sertkesen" character.
[04:31:39	]Enistein loaded the character 'C24:i5.UNION-79'
[04:31:42	]C24:i5.UNION-79 used command '/ViewObjectives'.
[04:31:45	]DavşanAbi loaded the character 'C45:i1.HELIX-12'
[04:31:49	]C24:i5.UNION-79 used command '/ViewObjectives'.
[04:31:52	]C45:i1.HELIX-12 entered observer.
[04:31:53	]C45:i1.HELIX-12 exited observer at their location.
[04:31:53	]C45:i1.HELIX-12 entered observer.
[04:31:54	]C45:i1.HELIX-12 exited observer at their location.
[04:31:55	]C24:i5.UNION-79 entered observer.
[04:31:58	]C24:i5.UNION-79 exited observer at their location.
[04:32:01	]C45:i1.HELIX-12 entered observer.
[04:32:03	]C24:i5.UNION-79 used command '/ViewObjectives'.
[04:32:05	]C45:i1.HELIX-12 exited observer at their location.
[04:32:11	]C45:i1.HELIX-12 used command '/ViewObjectives'.
[04:32:25	]C45:i1.HELIX-12 used command '/ViewShops'.
[04:32:56	]DavşanAbi has unloaded their "C45:i1.HELIX-12" character.
[04:33:02	]DavşanAbi loaded the character 'C24:CpT.KING-1'
[04:33:13	]C24:CpT.KING-1 used command '/ViewObjectives'.
[04:33:18	]Enistein has unloaded their "C24:i5.UNION-79" character.
[04:33:26	]Enistein loaded the character 'S10:Disp:AI-1'
[04:33:31	]S10:Disp:AI-1 used command '/ViewObjectives'.
[04:33:31	]S10:Disp:AI-1 is fully healed.
[04:34:01	]C24:CpT.KING-1 used command '/AddPBX 10'.
[04:34:06	]C24:CpT.KING-1 used command '/AddPBX 2'.
[04:34:14	]C24:CpT.KING-1 entered observer.
[04:34:19	]C24:CpT.KING-1 exited observer at their location.
[04:34:40	]Enistein has unloaded their "S10:Disp:AI-1" character.
[04:34:42	]DavşanAbi has unloaded their "C24:CpT.KING-1" character.
[04:34:48	]Enistein loaded the character 'C24:i5.UNION-79'
[04:34:48	]DavşanAbi loaded the character 'S10:SCN-7'
[04:34:53	]S10:SCN-7 is fully healed.
[04:35:18	]C24:i5.UNION-79 is fully healed.
[04:35:51	]S10:SCN-7 has spawned a 'NPC [2611][npc_cscanner]'.
[04:35:54	]C24:i5.UNION-79 entered observer.
[04:35:55	]C24:i5.UNION-79 exited observer at their location.
[04:35:57	]C24:i5.UNION-79 entered observer.
[04:35:59	]S10:SCN-7 has spawned a 'NPC [2611][npc_cscanner]'.
[04:36:09	]C24:i5.UNION-79 exited observer at their location.
[04:36:15	]S10:SCN-7 has spawned a 'NPC [3866][npc_manhack]'.
[04:36:16	]C24:i5.UNION-79 has spawned a 'NPC [5492][npc_manhack]'.
[04:36:38	]C24:i5.UNION-79 has used a context menu option with the name: remove
[04:37:06	]DavşanAbi has unloaded their "S10:SCN-7" character.
[04:37:23	]DavşanAbi loaded the character 'C45:i1.HELIX-12'
[04:37:25	]C45:i1.HELIX-12 entered observer.
[04:37:26	]Enistein has unloaded their "C24:i5.UNION-79" character.
[04:37:28	]C45:i1.HELIX-12 exited observer at their location.
[04:37:32	]Enistein loaded the character 'S10:Disp:AI-1'
[04:37:36	]C45:i1.HELIX-12 entered observer.
[04:37:36	]C45:i1.HELIX-12 exited observer at their location.
[04:37:51	]C45:i1.HELIX-12 has spawned a 'NPC [2611][npc_strider]'.
[04:37:53	]C45:i1.HELIX-12 has spawned a 'NPC [2611][npc_strider]'.
[04:38:02	]C45:i1.HELIX-12 has spawned a 'NPC [2611][npc_combine_s]'.
[04:38:03	]C45:i1.HELIX-12 has taken 3 damage from npc_combine_s.
[04:38:04	]C45:i1.HELIX-12 has spawned a 'NPC [2611][npc_turret_floor]'.
[04:38:11	]C45:i1.HELIX-12 has spawned a 'NPC [2611][npc_clawscanner]'.
[04:38:23	]C45:i1.HELIX-12 has gained a '30rnd MP-şarjörü' #50064.
[04:38:23	]C45:i1.HELIX-12 has lost a '30rnd MP-şarjörü' #50137.
[04:38:37	]C45:i1.HELIX-12 has gained a '30rnd MP-şarjörü' #50137.
[04:38:37	]C45:i1.HELIX-12 has lost a '30rnd MP-şarjörü' #50064.
[04:38:46	]S10:Disp:AI-1 ran SAM command 'hp' with arguments: '^' '100'
[04:38:47	]S10:Disp:AI-1 is fully healed.
[04:39:31	]C45:i1.HELIX-12 entered observer.
[04:39:33	]C45:i1.HELIX-12 exited observer at their location.
[04:39:34	]S10:Disp:AI-1 set needsPermaKill to '[true]'.
[04:39:37	]C45:i1.HELIX-12 entered observer.
[04:39:43	]DavşanAbi has unloaded their "C45:i1.HELIX-12" character.
[04:39:46	]S10:Disp:AI-1 set needsTickTime to '60'.
[04:39:48	]DavşanAbi loaded the character 'Arif Sertkesen'
[04:39:48	]S10:Disp:AI-1 set needsTickTime to '300'.
[04:39:53	]Arif Sertkesen entered observer.
[04:39:56	]Arif Sertkesen exited observer at their location.
[04:39:58	]Arif Sertkesen has taken 5 damage from worldspawn.
[04:39:59	]Enistein has unloaded their "S10:Disp:AI-1" character.
