[17:48:46	]Garet a désactivé le mode observateur à son point d'origine.
[17:48:46	]Garet a activé le mode observateur.
[17:49:01	]Garet a désactivé le mode observateur à son point d'origine.
[17:49:04	]Garet a activé le mode observateur.
[17:49:09	]Garet a désactivé le mode observateur à son point d'origine.
[17:49:11	]Garet a activé le mode observateur.
[17:49:22	]Garet a désactivé le mode observateur à son point d'origine.
[17:49:23	]Garet a activé le mode observateur.
[17:49:24	]Garet a désactivé le mode observateur à son point d'origine.
[17:49:24	]Garet a activé le mode observateur.
[17:49:25	]Garet a désactivé le mode observateur à son point d'origine.
[17:49:26	]Garet a activé le mode observateur.
[17:49:27	]Garet a désactivé le mode observateur à son point d'origine.
[17:49:28	]Garet a activé le mode observateur.
[17:49:29	]Garet a désactivé le mode observateur à son point d'origine.
[17:49:30	]Garet a activé le mode observateur.
[17:49:30	]Garet a désactivé le mode observateur à son point d'origine.
[17:49:31	]Garet a activé le mode observateur.
[17:49:31	]Garet a désactivé le mode observateur à son point d'origine.
[17:49:32	]Garet a activé le mode observateur.
[17:49:33	]Garet a désactivé le mode observateur à son point d'origine.
[17:49:34	]Garet a activé le mode observateur.
[17:49:35	]Garet a désactivé le mode observateur à son point d'origine.
[17:49:35	]Garet a activé le mode observateur.
[17:49:36	]Garet a désactivé le mode observateur à son point d'origine.
[17:49:36	]Garet a activé le mode observateur.
[17:49:38	]Garet a désactivé le mode observateur à son point d'origine.
[17:49:38	]Garet a activé le mode observateur.
[17:49:39	]Garet a désactivé le mode observateur à son point d'origine.
[17:49:40	]Garet a activé le mode observateur.
[17:49:42	]Garet a désactivé le mode observateur à son point d'origine.
[17:49:42	]Garet a activé le mode observateur.
[17:49:43	]Garet a désactivé le mode observateur à son point d'origine.
[17:49:44	]Garet a activé le mode observateur.
[17:49:45	]Garet a désactivé le mode observateur à son point d'origine.
[17:49:46	]Garet a activé le mode observateur.
[17:49:48	]Garet a désactivé le mode observateur à son point d'origine.
[17:49:50	]Garet a activé le mode observateur.
[17:49:57	]Garet a désactivé le mode observateur à son point d'origine.
[17:49:59	]Garet a activé le mode observateur.
[17:50:12	]Garet a désactivé le mode observateur à son point d'origine.
[17:50:13	]Garet a activé le mode observateur.
[17:50:14	]Garet a désactivé le mode observateur à son point d'origine.
[17:50:15	]Garet a activé le mode observateur.
[17:50:15	]Garet a désactivé le mode observateur à son point d'origine.
[17:50:17	]Garet a activé le mode observateur.
[17:50:17	]Garet a désactivé le mode observateur à son point d'origine.
[17:50:18	]Garet a activé le mode observateur.
[17:50:20	]Garet a désactivé le mode observateur à son point d'origine.
[17:50:21	]Garet a activé le mode observateur.
[17:50:22	]Garet a désactivé le mode observateur à son point d'origine.
[17:50:22	]Garet a activé le mode observateur.
[17:50:22	]Garet a désactivé le mode observateur à son point d'origine.
[17:50:23	]Garet a activé le mode observateur.
[17:50:24	]Garet a désactivé le mode observateur à son point d'origine.
