[15:15:36	][IC] C24:i5.UNION-86: <:: Hmph. ::>
[15:15:38	][IC] Hope Bethany: Siyah saçlı.
[15:15:41	][IC] Hope Bethany: Orta boylu.
[15:15:41	][IC] John Klebold: O kızı bulup kafasını kesicem.
[15:15:42	][IC] C24:i5.UNION-86: <:: İsmini biliyormusun? ::>
[15:15:45	][IC] Hope Bethany: Hayır.
[15:15:49	][IC] Hope Bethany: Direk 404'de girdi.
[15:15:49	][IC] C24:i5.UNION-86: <:: Hmph. ::>
[15:15:52	][IC] C24:i5.UNION-86: <:: Pekala. ::>
[15:15:57	]deathguard loaded the character 'C24:i5.UNION-35'
[15:16:02	]C24:i5.UNION-35 used command '/Radio 10-8'.
[15:16:03	][IC] C24:i5.UNION-86: <:: Anladım teşekkür ederim. ::>
[15:16:05	]Trqea loaded the character 'Smith Murphy'
[15:16:10	]Smith Murphy is fully healed.
[15:16:11	][IC] Hope Bethany: Sorun değil.
[15:16:13	]C24:i5.UNION-35 ran 'EquipUn' on item 'Combine Filter' (#50036)
[15:16:15	]CS.PRO Ellie Williams has connected.
[15:16:16	]C24:i5.UNION-86 used command '/Radio 35 10-20 me a10-78 yap.'.
[15:16:31	][IC] C24:i5.UNION-86: <:: 404 e birisi kaçtı. ::>
[15:16:34	][IC] C24:i5.UNION-86: <:: Yaraladım. ::>
[15:16:40	][IC] C24:i5.UNION-86: <:: Dur dememe rağmen durmadı. ::>
[15:16:44	][IC] C24:i5.UNION-86: <:: Girmedim. ::>
[15:16:59	][IC] C24:i5.UNION-86: <:: Adamın yüz mimikleri ingiliz bıyığı ve bir gözlüğü varmış. ::>
[15:17:02	][IC] C24:i5.UNION-86: <:: Kanaması olabilir. ::>
[15:17:05	]Smith Murphy has gained a 'Eski Masa Saati' #51093.
[15:17:07	][IC] C24:i5.UNION-86: <:: 2 el ateş ettim. ::>
[15:17:10	][IC] C24:i5.UNION-35: <:: Tamam. ::>
[15:17:22	]Smith Murphy ran 'Write' on item 'BHID'in sana ihtiyacı var!' (#21985)
[15:17:25	][IC] C24:i5.UNION-86: <:: Bulduğumuz yerde infazmı edeceğiz? ::>
[15:17:26	]Smith Murphy ran 'Write' on item 'BHID'in sana ihtiyacı var!' (#21985)
[15:17:32	][IC] C24:i5.UNION-35: <:: 10-2. ::>
[15:17:32	][IC] C24:i5.UNION-86: <:: Bir sorunmu var? ::>
[15:17:37	][IC] Marcus Holloway: Hayır.
[15:17:37	][IC] C24:i5.UNION-35: <:: Sorguya alıcaz. ::>
[15:17:41	][IC] C24:i5.UNION-86: <:: Yürü! ::>
[15:17:51	][IC] C24:i5.UNION-86: <:: Anlaşıldı. ::>
[15:17:55	][IC] C24:i5.UNION-86: <:: Kaçarsa ateş ederim. ::>
[15:17:58	]Marcus Holloway ran 'Consume' on item 'Kruvasan' (#46817)
[15:17:58	]Marcus Holloway has gained a level 3 long boost in Zeka.
[15:18:03	][IC] C24:i5.UNION-35: <:: Öldürmemeye çalış. ::>
[15:18:06	][IC] C24:i5.UNION-35: <:: Görürsen. ::>
[15:18:08	][IC] C24:i5.UNION-86: <:: Zaten. ::>
[15:18:20	][IC] C24:i5.UNION-86: <:: Bölgeye dikkatli bak. ::>
[15:18:28	][IC] C24:i5.UNION-35: <:: Silahı varmıydı. ::>
[15:18:28	][IC] C24:i5.UNION-86: <:: Silahı varsa sorun olabilir. ::>
[15:18:35	][IC] C24:i5.UNION-86: <:: 10-2. ::>
[15:18:40	][IC] C24:i5.UNION-86: <:: Görnüşe göre yoktu. ::>
[15:18:43	][IC] C24:i5.UNION-35: <:: 10-4. ::>
[15:18:47	][IC] C24:i5.UNION-86: <:: Ama varsa karşılıkta verirdi gibi. ::>
[15:19:02	][IC] C24:i5.UNION-35: <:: Görürsen telsizden bildir. ::>
[15:19:06	][IC] C24:i5.UNION-86: <:: Anlaşıldı. ::>
[15:19:10	][IC] C24:i5.UNION-86: <:: Plazaya gidiyorum. ::>
[15:19:23	][IC] C24:i5.UNION-35: <:: 10-4. ::>
[15:19:40	]CS.PRO Ellie Williams loaded the character 'Joel Miller'
[15:19:54	]civilnetworks.com sadscientist loaded the character 'Mark Lemitski'
[15:20:39	]C24:i5.UNION-35 used command '/Radio catwalk'.
[15:20:59	]Joel Miller opened the 'Ham maddeler ve Kıyafetler' #4454 container.
[15:21:07	][IC] C24:i5.UNION-35: <:: Kaçarsa bacağına ateş et. ::>
[15:21:12	]C24:i5.UNION-35 has lost a '17rnd Usp-Şarjörü' #50011.
[15:21:12	]C24:i5.UNION-35 has gained a '17rnd Usp-Şarjörü' #50009.
[15:21:13	][IC] C24:i5.UNION-86: <:: Anlaşıldı. ::>
[15:21:14	]Mark Lemitski opened the 'Large Metal Cabinet' #2146 container.
[15:21:15	]Joel Miller closed the 'Ham maddeler ve Kıyafetler' #4454 container.
[15:21:15	]C24:i5.UNION-86 has gained a '17rnd Usp-Şarjörü' #50031.
[15:21:15	]C24:i5.UNION-86 has lost a '17rnd Usp-Şarjörü' #50030.
[15:21:18	]Mark Lemitski closed the 'Large Metal Cabinet' #2146 container.
[15:21:18	]Mark Lemitski opened the 'Large Metal Cabinet' #2148 container.
[15:21:21	]Mark Lemitski closed the 'Large Metal Cabinet' #2148 container.
[15:21:21	]Mark Lemitski opened the 'Large Metal Cabinet' #2147 container.
[15:21:23	]Mark Lemitski closed the 'Large Metal Cabinet' #2147 container.
[15:21:25	]Joel Miller has lost a '17rnd Usp-Şarjörü' #31138.
[15:21:26	]Joel Miller has gained a '17rnd Usp-Şarjörü' #31137.
[15:21:28	]Mark Lemitski ran 'take' on item 'Çalışma Tezgahı' (#13997)
[15:21:31	]Mark Lemitski ran 'Use' on item 'Çalışma Tezgahı' (#13997)
[15:21:53	]CS.PRO Ellie Williams has unloaded their "Joel Miller" character.
[15:21:58	]CS.PRO Ellie Williams loaded the character 'Tommy Black'
[15:22:04	]C24:i5.UNION-86 used command '/Radio Temiz.'.
[15:22:29	][IC] C24:i5.UNION-35: <:: Tren raylarını kontrol edelim mi? ::>
[15:22:33	][IC] C24:i5.UNION-86: <:: Hmph. ::>
[15:22:34	]Tommy Black ran 'take' on item 'Tulum pantolonu.' (#50814)
[15:22:34	]Tommy Black has gained a 'Tulum pantolonu.' #50814.
[15:22:38	][IC] C24:i5.UNION-86: <:: Riskli. ::>
[15:22:45	]Tommy Black opened the 'Çöp Konteyneri' #3117 container.
[15:22:47	]Tommy Black closed the 'Çöp Konteyneri' #3117 container.
[15:22:52	]Mark Lemitski used command '/ActSit 3'.
[15:22:55	]Mark Lemitski opened the 'File Cabinet' #2149 container.
[15:22:58	]Mark Lemitski closed the 'File Cabinet' #2149 container.
[15:23:13	]Mark Lemitski used command '/ExitAct'.
[15:24:02	]C24:i5.UNION-35 used command '/Radio catwalkta'.
[15:24:12	][IC] C24:i5.UNION-86: <:: Hani? ::>
[15:24:22	]CS.PRO Ellie Williams has unloaded their "Tommy Black" character.
[15:24:26	]CS.PRO Ellie Williams loaded the character 'Joel Miller'
[15:24:35	]Joel Miller ran 'Consume' on item 'Yapay Macun' (#50838)
[15:24:35	]Joel Miller has gained a 'Boş Kavanoz' #51094.
[15:24:37	]Joel Miller ran 'drop' on item 'Boş Kavanoz' (#51094)
[15:24:37	]Joel Miller has lost a 'Boş Kavanoz' #51094.
[15:24:38	]Joel Miller ran 'Consume' on item 'Kruvasan' (#46815)
[15:24:38	]Joel Miller has gained a level 3 long boost in Zeka.
[15:24:38	][IC] C24:i5.UNION-35: <:: Asansörün oralara gitti. ::>
[15:24:39	]Joel Miller ran 'Consume' on item 'Kruvasan' (#46814)
[15:24:39	]Joel Miller has wasted a level 3 long boost in Zeka (current: 0; target: 3).
[15:24:42	][IC] C24:i5.UNION-86: <:: Hmph. ::>
[15:24:43	]Joel Miller has gained a '17rnd Usp-Şarjörü' #31138.
[15:24:43	]Joel Miller has lost a '17rnd Usp-Şarjörü' #31134.
[15:24:43	][IC] Mark Lemitski: Kim.
[15:24:44	]Joel Miller has gained level 27 in the Hız skill.
[15:24:47	][IC] Mark Lemitski: Bendim yukardaki.
[15:24:52	][IC] C24:i5.UNION-86: <:: Ne. ::>
[15:24:59	][IC] Mark Lemitski: Departmanım orda.
[15:25:03	]Joel Miller opened the 'Kişisel Depo' stash.
[15:25:04	][IC] Mark Lemitski: Mühendislik departmanı binası.
[15:25:08	]Joel Miller closed the 'Kişisel Depo' stash.
[15:25:08	][IC] C24:i5.UNION-35: <:: Tamam. ::>
[15:25:21	][IC] C24:i5.UNION-86: <:: Bir durum yok o zaman. ::>
[15:25:25	][IC] C24:i5.UNION-35: <:: Evet. ::>
[15:25:26	]Joel Miller is fully healed.
