[21:28:02	]Rak d destroyed a 'The Mulligan Express Trousers' #3813.
[21:28:02	]Rak d destroyed a 'The Paperweight Trousers' #3814.
[21:28:03	]Rak d destroyed a 'Burgundy' #3689.
[21:28:04	]Rak d destroyed a 'Collector' #3834.
[21:28:07	]Rak d destroyed a 'The German' #3833.
[21:28:07	]Rak d destroyed a 'Burgundy' #3832.
[21:28:08	]Rak d destroyed a 'Mr. Vanilla' #3828.
[21:28:08	]Rak d destroyed a 'White Snow' #3826.
[21:28:09	]Rak d destroyed a 'The Indigo of Tomorrow' #3824.
[21:28:09	]Rak d destroyed a 'The Jade' #3825.
[21:28:14	]Rak d destroyed a 'The German Trousers' #3810.
[21:28:19	]Rak d destroyed a 'Burgundy Trousers' #3797.
[21:28:20	]Rak d destroyed a 'Jade Trousers' #3799.
[21:28:22	]Rak d destroyed a 'Elephant Hunter Trousers' #3804.
[21:28:25	]Rak d destroyed a 'Collector Trousers' #3798.
[21:28:31	]Rak d destroyed a 'Presenters Joy Trousers' #3802.
[21:28:32	]Rak d destroyed a 'The Authoritarian Trousers' #3796.
[21:28:32	]Rak d destroyed a 'The Diplomat Trousers' #3807.
[21:28:32	]Rak d destroyed a 'The Bureaucrat Trousers' #3808.
[21:28:32	]Rak d destroyed a 'Containment Uniform' #3841.
[21:28:33	]Rak d destroyed a 'Vanilla Trousers' #3815.
[21:28:34	]Rak d destroyed a 'Counterfeit Identity Card Creation Device' #3848.
[21:28:36	]Rak d destroyed a 'The Paperweight Trousers' #3816.
[21:28:38	]Rak d destroyed a 'M249' #3856.
[21:28:45	]Rak d destroyed a 'Volk'd PKP' #3855.
[21:28:46	]Rak d destroyed a 'AKM' #3857.
[21:29:32	]Recik (STEAM_0:1:57940784) has disconnected.
