[23:08:00	]Loxy has connected.
[23:09:02	]Loxy loaded the character 'Maciek Dąbrowski'
[23:09:09	]Maciek Dąbrowski entered observer.
[23:11:18	][INFESTATION] Maciek Dąbrowski (STEAM_0:1:421238310)  has entered Infestation Edit Mode.
[23:11:18	]Maciek Dąbrowski used command '/InfestationEdit'.
[23:11:32	][INFESTATION] Maciek Dąbrowski (STEAM_0:1:421238310) has exited Infestation Edit Mode.
[23:12:19	]Maciek Dąbrowski exited observer at their location.
[23:12:19	]Maciek Dąbrowski entered observer.
[23:12:30	]Maciek Dąbrowski exited observer at their location.
[23:12:31	]Maciek Dąbrowski entered observer.
[23:12:41	]Maciek Dąbrowski exited observer at their location.
[23:12:47	]Maciek Dąbrowski entered observer.
[23:16:33	]Chogacz has connected.
[23:17:06	][AltChecker] Chogacz joined without a cookie, but matched installation with existing cookie. Certainty 3/5
[23:17:14	]Chogacz loaded the character 'C17:RCT.YELLO-57'
[23:17:21	]C17:RCT.YELLO-57 ran 'drop' on item 'applicatorItemName' (#3030)
[23:17:21	]C17:RCT.YELLO-57 has lost a 'applicatorItemName' #3030.
[23:17:23	]C17:RCT.YELLO-57 has used a context menu option with the name: remove
[23:17:25	]C17:RCT.YELLO-57 ran 'drop' on item 'Flashlight' (#3025)
[23:17:25	]C17:RCT.YELLO-57 has lost a 'Flashlight' #3025.
[23:17:27	]C17:RCT.YELLO-57 has used a context menu option with the name: remove
[23:17:47	]C17:RCT.YELLO-57 has given himself a uniform_auxcp.
[23:17:47	]C17:RCT.YELLO-57 has gained a 'Auxiliary Unit Uniform' #3033.
[23:17:58	]C17:RCT.YELLO-57 ran 'drop' on item 'Auxiliary Unit Uniform' (#3033)
[23:17:58	]C17:RCT.YELLO-57 has lost a 'Auxiliary Unit Uniform' #3033.
[23:18:00	]C17:RCT.YELLO-57 has used a context menu option with the name: collision_off
[23:18:01	]C17:RCT.YELLO-57 has used a context menu option with the name: remove
[23:18:05	]C17:RCT.YELLO-57 has given himself a uniform_cp.
[23:18:05	]C17:RCT.YELLO-57 has gained a 'CP Uniform' #3034.
[23:18:07	]C17:RCT.YELLO-57 has given himself a mask_cp.
[23:18:07	]C17:RCT.YELLO-57 has gained a 'CP Mask' #3035.
[23:18:42	]C17:RCT.YELLO-57 has given himself a mp7a1.
[23:18:42	]C17:RCT.YELLO-57 has gained a 'MP7A1' #3036.
[23:18:50	]C17:RCT.YELLO-57 has given himself a magazine_mp_30rnd.
[23:18:50	]C17:RCT.YELLO-57 has gained a '30rnd MP-magazine' #3037.
[23:18:51	]C17:RCT.YELLO-57 has given himself a magazine_mp_30rnd.
[23:18:51	]C17:RCT.YELLO-57 has gained a '30rnd MP-magazine' #3038.
[23:18:51	]C17:RCT.YELLO-57 has given himself a magazine_mp_30rnd.
[23:18:51	]C17:RCT.YELLO-57 has gained a '30rnd MP-magazine' #3039.
[23:18:52	]C17:RCT.YELLO-57 has given himself a magazine_mp_30rnd.
[23:18:52	]C17:RCT.YELLO-57 has gained a '30rnd MP-magazine' #3040.
[23:19:03	]C17:RCT.YELLO-57 has given himself a bullets_smg1.
[23:19:03	]C17:RCT.YELLO-57 has gained a 'Sub-machinegun Bullets' #3041.
[23:19:04	]C17:RCT.YELLO-57 has given himself a bullets_smg1.
[23:19:04	]C17:RCT.YELLO-57 has gained a 'Sub-machinegun Bullets' #3042.
[23:19:05	]C17:RCT.YELLO-57 has given himself a bullets_smg1.
[23:19:05	]C17:RCT.YELLO-57 has gained a 'Sub-machinegun Bullets' #3043.
[23:19:06	]C17:RCT.YELLO-57 has given himself a bullets_smg1.
[23:19:06	]C17:RCT.YELLO-57 has gained a 'Sub-machinegun Bullets' #3044.
[23:19:07	]C17:RCT.YELLO-57 ran 'combine' on item '30rnd MP-magazine' (#3039)
[23:19:07	]C17:RCT.YELLO-57 ran 'combine' on item '30rnd MP-magazine' (#3038)
[23:19:08	]C17:RCT.YELLO-57 ran 'combine' on item '30rnd MP-magazine' (#3040)
[23:19:09	]C17:RCT.YELLO-57 ran 'combine' on item '30rnd MP-magazine' (#3037)
[23:19:10	]C17:RCT.YELLO-57 ran 'Equip' on item 'MP7A1' (#3036)
[23:19:11	]C17:RCT.YELLO-57 has lost a '30rnd MP-magazine' #3040.
[23:19:14	]C17:RCT.YELLO-57 has gained a '30rnd MP-magazine' #3040.
[23:19:14	]C17:RCT.YELLO-57 has lost a '30rnd MP-magazine' #3039.
[23:19:29	]C17:RCT.YELLO-57 ran SAM command 'goto' with arguments: 'maciek'
[23:19:29	]Maciek Dąbrowski exited observer at their location.
[23:19:33	]Maciek Dąbrowski ran 'drop' on item 'EMP Device' (#1325)
[23:19:33	]Maciek Dąbrowski has lost a 'EMP Device' #1325.
[23:19:33	]Maciek Dąbrowski ran 'use' on item 'Basic Yellow Pill' (#1048)
[23:19:33	]Maciek Dąbrowski has gained a level 3 short boost in Perception.
[23:19:34	]Maciek Dąbrowski ran 'drop' on item 'Stitched Cloth' (#1032)
[23:19:34	]Maciek Dąbrowski has lost a 'Stitched Cloth' #1032.
[23:19:35	]Maciek Dąbrowski ran 'drop' on item 'Blue Light Kevlar Uniform' (#1177)
[23:19:35	]Maciek Dąbrowski has lost a 'Blue Light Kevlar Uniform' #1177.
[23:19:36	]Maciek Dąbrowski ran 'drop' on item 'Black Weather Jacket' (#935)
[23:19:36	]Maciek Dąbrowski has lost a 'Black Weather Jacket' #935.
[23:19:36	]Maciek Dąbrowski ran 'drop' on item 'Green Light Kevlar Uniform' (#1094)
[23:19:36	]Maciek Dąbrowski has lost a 'Green Light Kevlar Uniform' #1094.
[23:19:38	]Maciek Dąbrowski has used a context menu option with the name: remove
[23:19:39	]Maciek Dąbrowski has used a context menu option with the name: remove
[23:19:39	]Maciek Dąbrowski has used a context menu option with the name: remove
[23:19:40	]Maciek Dąbrowski has used a context menu option with the name: remove
[23:19:41	]Maciek Dąbrowski has used a context menu option with the name: remove
[23:19:42	]Maciek Dąbrowski ran 'drop' on item 'Bandana' (#1097)
[23:19:42	]Maciek Dąbrowski has lost a 'Bandana' #1097.
[23:19:43	]Maciek Dąbrowski ran 'drop' on item 'Desert Eagle' (#1021)
[23:19:43	]Maciek Dąbrowski has lost a 'Desert Eagle' #1021.
[23:19:44	]C17:RCT.YELLO-57 has gained a '30rnd MP-magazine' #3039.
[23:19:44	]C17:RCT.YELLO-57 has lost a '30rnd MP-magazine' #3038.
[23:19:45	]Maciek Dąbrowski ran 'drop' on item 'Kitchen Knife' (#941)
[23:19:45	]Maciek Dąbrowski has lost a 'Kitchen Knife' #941.
[23:19:47	]Maciek Dąbrowski ran 'drop' on item 'Adrenaline' (#1041)
[23:19:47	]Maciek Dąbrowski has lost a 'Adrenaline' #1041.
[23:19:47	]Maciek Dąbrowski ran 'drop' on item 'Flare' (#959)
[23:19:47	]Maciek Dąbrowski has lost a 'Flare' #959.
[23:19:48	]Maciek Dąbrowski ran 'drop' on item 'Black Jumpsuit Trousers' (#10)
[23:19:48	]Maciek Dąbrowski has lost a 'Black Jumpsuit Trousers' #10.
[23:19:50	]Maciek Dąbrowski ran 'drop' on item 'Black Jumpsuit' (#9)
[23:19:50	]Maciek Dąbrowski has lost a 'Black Jumpsuit' #9.
[23:19:52	]Maciek Dąbrowski has used a context menu option with the name: remove
[23:19:52	]Maciek Dąbrowski has used a context menu option with the name: remove
[23:19:53	]Maciek Dąbrowski has used a context menu option with the name: bone_manipulate
[23:19:55	]Maciek Dąbrowski has used a context menu option with the name: remove
[23:19:56	]Maciek Dąbrowski has used a context menu option with the name: remove
[23:19:57	]Maciek Dąbrowski has used a context menu option with the name: remove
[23:19:58	]C17:RCT.YELLO-57 entered observer.
[23:19:58	]Maciek Dąbrowski has used a context menu option with the name: remove
[23:19:59	]C17:RCT.YELLO-57 exited observer.
[23:19:59	]Maciek Dąbrowski has used a context menu option with the name: remove
[23:20:02	]Maciek Dąbrowski ran 'combine' on item 'Suitcase' (#7)
