[14:58:59	]tomasz hedzik created the character 'Wyrzutek'
[14:59:00	]tomasz hedzik loaded the character 'Wyrzutek'
[14:59:00	]Wyrzutek has gained a 'Latarka' #4711.
[14:59:00	]Wyrzutek has gained a 'Black Armband' #4712.
[14:59:00	]Wyrzutek has gained a 'Karta identyfikacyjna #12947' #4713.
[14:59:17	]Wyrzutek ran 'Equip' on item 'Black Armband' (#4712)
[15:00:07	]tomasz hedzik has unloaded their "Wyrzutek" character.
[15:00:18	]tomasz hedzik created the character 'Relokowany Obywatel'
[15:00:19	]tomasz hedzik loaded the character 'Relokowany Obywatel'
[15:00:19	]Relokowany Obywatel has gained a 'Walizka' #4714.
[15:00:19	]Relokowany Obywatel has gained a 'Latarka' #4715.
[15:00:19	]Relokowany Obywatel has gained a 'Karta identyfikacyjna #13870' #4716.
[15:00:28	]Relokowany Obywatel ran 'Equip' on item 'Walizka' (#4714)
[15:01:57	]Relokowany Obywatel has spawned a armband_grey.
[15:02:18	]Relokowany Obywatel ran 'take' on item 'Jasnoszara opaska na ramię' (#4717)
[15:02:18	]Relokowany Obywatel has gained a 'Jasnoszara opaska na ramię' #4717.
[15:02:25	]tomasz hedzik loaded the character 'Wyrzutek'
[15:02:41	]tomasz hedzik has unloaded their "Wyrzutek" character.
[15:02:57	]tomasz hedzik created the character 'Kolaborant'
[15:02:57	]tomasz hedzik loaded the character 'Kolaborant'
[15:02:57	]Kolaborant has gained a 'Pager' #4718.
[15:02:57	]Kolaborant has gained a 'Karta identyfikacyjna #14795' #4719.
[15:06:14	]tomasz hedzik has unloaded their "Kolaborant" character.
[15:06:32	]tomasz hedzik created the character 'Lokalny Obywatel'
[15:06:32	]tomasz hedzik loaded the character 'Lokalny Obywatel'
[15:06:32	]Lokalny Obywatel has gained a 'Latarka' #4720.
[15:06:32	]Lokalny Obywatel has gained a 'Karta identyfikacyjna #15722' #4721.
[15:08:01	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:08:02	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:09:29	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:11:25	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:11:26	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:11:56	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:11:58	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:12:47	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:12:48	]Lokalny Obywatel has taken 45 damage from worldspawn.
[15:12:49	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:12:54	]C24:RL.JURY-1 entered observer.
[15:12:55	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:12:56	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:13:18	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:13:34	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:13:36	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:13:47	]Chogacz (STEAM_0:1:36976287) has disconnected.
[15:13:52	]Lokalny Obywatel opened the 'Szafki' #529 container.
[15:13:54	]Lokalny Obywatel closed the 'Szafki' #529 container.
[15:13:59	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:15:18	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:15:19	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:15:24	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:15:26	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:15:28	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:15:30	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:15:34	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:15:37	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
[15:15:39	]Lokalny Obywatel ran SAM command 'noclip' with arguments: ''
